Email,First usage,Last usage,Account id,Account name
20899645,2012-10-05,2013-05-31,4319,4319
21015532,2012-10-24,2013-08-30,4319,4319
21031662,2012-11-13,2013-05-13,4319,4319
21038129,2012-11-22,2013-09-24,4319,4319
21039106,2012-12-03,2013-09-25,4319,4319
21039107,2012-11-21,2013-07-21,4319,4319
21054172,2012-12-07,2013-03-09,4319,4319
21109936,2013-02-09,2013-08-07,4319,4319
21120375,2013-02-25,2013-09-12,4319,4319
21123364,2013-02-22,2013-06-14,4319,4319
21168887,2013-04-10,2013-08-27,4319,4319
21168893,2013-04-08,2013-09-25,4319,4319
21179065,2013-09-01,2013-09-24,4319,4319
21210152,2013-05-15,2013-06-08,4319,4319
21230455,2013-06-08,2013-08-25,4319,4319
21230456,2013-06-06,2013-09-14,4319,4319
21250837,2013-06-25,2013-07-02,4319,4319
21250841,2013-06-24,2013-07-17,4319,4319
21259055,2013-06-28,2013-09-25,4319,4319
21305707,2013-07-29,2013-09-24,4319,4319
21324626,2013-08-02,2013-09-09,4319,4319
21340286,2013-08-09,2013-09-25,4319,4319
21415016,2013-09-13,2013-09-25,4319,4319
21415020,2013-09-13,2013-09-25,4319,4319
21415031,2013-09-13,2013-09-25,4319,4319
2857682,2012-09-03,2013-09-25,4319,4319
3858025,2012-09-03,2013-09-25,4319,4319
3858027,2012-09-03,2013-09-25,4319,4319
3858029,2012-09-03,2013-09-25,4319,4319
3858033,2012-09-04,2013-09-25,4319,4319
3858036,2012-09-03,2013-09-16,4319,4319
4016019,2012-09-03,2012-11-19,4319,4319
alluk,2013-06-07,2013-09-25,4319,4319
10233804,2012-10-12,2012-10-12,4321,4321
20487165,2012-09-03,2013-08-16,4321,4321
20487918,2012-09-03,2013-08-15,4321,4321
21081352,2013-01-09,2013-09-25,4321,4321
21135628,2013-03-06,2013-08-29,4321,4321
21439768,2013-09-24,2013-09-24,4321,4321
2857707,2012-09-14,2013-09-25,4321,4321
3858268,2012-09-05,2013-09-19,4321,4321
3858274,2012-09-06,2013-08-29,4321,4321
3858277,2012-09-04,2013-09-24,4321,4321
3858279,2012-09-03,2013-07-25,4321,4321
3858283,2012-09-05,2013-07-28,4321,4321
3858286,2012-09-03,2013-09-25,4321,4321
3858289,2012-09-03,2013-09-25,4321,4321
7560531,2012-09-03,2013-07-16,4321,4321
alles,2013-06-07,2013-09-25,4321,4321
21126601,2013-02-25,2013-09-23,130878,130878
21126602,2013-02-26,2013-03-06,130878,130878
21127928,2013-02-27,2013-02-27,130878,130878
21137122,2013-03-08,2013-09-25,130878,130878
21140505,2013-04-11,2013-04-12,130878,130878
21140508,2013-03-13,2013-09-19,130878,130878
21140511,2013-03-13,2013-09-24,130878,130878
21140514,2013-03-16,2013-07-03,130878,130878
21140520,2013-03-20,2013-09-19,130878,130878
21140522,2013-03-13,2013-09-24,130878,130878
21140524,2013-03-13,2013-09-25,130878,130878
21140525,2013-05-20,2013-07-24,130878,130878
21140526,2013-03-29,2013-08-21,130878,130878
21140527,2013-03-22,2013-07-26,130878,130878
21140528,2013-03-13,2013-09-25,130878,130878
21140529,2013-03-14,2013-08-15,130878,130878
21140532,2013-03-13,2013-09-25,130878,130878
21140533,2013-03-15,2013-09-25,130878,130878
21140536,2013-05-22,2013-05-23,130878,130878
21140541,2013-03-20,2013-07-03,130878,130878
21140542,2013-03-14,2013-09-17,130878,130878
21140543,2013-03-13,2013-08-23,130878,130878
21140544,2013-03-13,2013-09-16,130878,130878
21140547,2013-03-13,2013-09-13,130878,130878
21140548,2013-03-16,2013-09-25,130878,130878
21140549,2013-03-13,2013-09-25,130878,130878
21140552,2013-05-20,2013-06-08,130878,130878
21140554,2013-08-17,2013-08-18,130878,130878
21140555,2013-04-02,2013-09-23,130878,130878
21150996,2013-07-31,2013-07-31,130878,130878
21217859,2013-05-24,2013-09-16,130878,130878
21340291,2013-08-09,2013-09-25,130878,130878
cstpkruk,2013-06-07,2013-09-25,130878,130878
20926414,2012-10-10,2012-10-10,4322,4322
21101533,2013-02-14,2013-08-26,4322,4322
21102598,2013-01-30,2013-02-04,4322,4322
21102599,2013-01-30,2013-09-25,4322,4322
21102600,2013-01-30,2013-09-19,4322,4322
21102601,2013-01-31,2013-04-28,4322,4322
21102602,2013-01-30,2013-09-25,4322,4322
21102603,2013-01-30,2013-09-25,4322,4322
21102604,2013-01-31,2013-09-25,4322,4322
21102606,2013-01-31,2013-09-25,4322,4322
21102607,2013-01-30,2013-09-25,4322,4322
21102608,2013-01-30,2013-09-25,4322,4322
